200,1512,8594,Carlton Public School,60 Cameron St,870,92,1051,Primary School,Coed,902,2207,Bexley,20170307
201,1513,8629,Carlton South Public School,Jubilee Ave,606,75,1073,Primary School,Coed,932,2218,Carlton,20170307
202,1515,5504,Carool Public School,411 Carool Rd,14,np,980,Primary School,Coed,2961,2486,Carool,20170307
203,1517,22736,Carrathool Public School,Glover St,7,np,918,Primary School,Coed,4291,2711,Carrathool,20170307
204,1518,9108,Carrington Public School,Young St,99,16,977,Primary School,Coed,1248,2294,Carrington,20170307
205,1520,9344,Carroll Public School,David St,21,0,766,Primary School,Coed,1610,2340,Carroll,20170307
206,1526,9732,Casino Public School,31 Walker St,685,np,883,Primary School,Coed,2648,2470,Casino,20170307
207,1527,9312,Cassilis Public School,Coolah Rd,16,0,911,Primary School,Coed,1461,2329,Cassilis,20170307
208,1529,7865,Castle Hill Public School,Les Shore Place,920,59,1114,Primary School,Coed,388,2154,Castle Hill,20170307
209,1535,10738,Cattai Public School,487 Cattai Rd,58,np,996,Primary School,Coed,4476,2756,Cattai,20170307
210,1537,10222,Cawdor Public School,865 Cawdor Rd,76,np,983,Primary School,Coed,3413,2570,Camden,20170307
211,1542,9278,Cessnock Public School,Rawson St,296,2,886,Primary School,Coed,1419,2325,Cessnock,20170307
212,1543,9053,Cessnock East Public School,Old Maitland Rd,229,np,858,Primary School,Coed,1419,2325,Cessnock,20170307
213,1545,9281,Cessnock West Public School,Wollombi & Campbell Sts,393,2,913,Primary School,Coed,1419,2325,Cessnock,20170307
214,1547,9375,Chandler Public School,Grafton Rd,22,0,939,Primary School,Coed,1711,2350,Wollomombi,20170307
215,1548,9839,The Channon Public School,Standing St,45,15,1091,Primary School,Coed,2855,2480,The Channon,20170307
216,1550,9050,Charlestown Public School,Frederick St,139,24,998,Primary School,Coed,1232,2290,Charlestown,20170307
217,1551,16257,Pacific Palms Public School,Boomerang Drive,324,6,1004,Primary School,Coed,2103,2428,Boomerang Beach,20170307
218,1553,9707,Chatsworth Island Public School,Chatsworth Island Rd,64,np,1002,Primary School,Coed,2599,2469,Chatsworth,20170307
219,1558,9912,Chillingham Public School,1420 Numinbah Rd,40,np,923,Primary School,Coed,2906,2484,Chillingham,20170307
220,1560,8534,Chipping Norton Public School,Central Ave,333,60,1020,Primary School,Coed,832,2170,Chipping Norton,20170307
221,1564,9164,Clarence Town Public School,Queen St,126,0,932,Primary School,Coed,1351,2321,Clarence Town,20170307
222,1566,8588,Clemton Park Public School,185 Bexley Rd,587,79,1050,Primary School,Coed,899,2206,Earlwood,20170307
223,1573,5317,Clovelly Public School,Arden St,582,18,1163,Primary School,Coed,451,2024,Waverley,20170307
224,1574,9785,Clunes Public School,Walker St,87,12,1061,Primary School,Coed,2810,2480,Clunes,20170307
225,1578,11059,Cobar Public School,6-8 Blakey St,257,5,915,Primary School,Coed,5011,2835,Cobar,20170307
226,1579,10179,Cobargo Public School,Wandella Rd,74,np,948,Primary School,Coed,3307,2550,Cobargo,20170307
227,1580,10223,Cobbitty Public School,Cobbitty Rd,250,18,1028,Primary School,Coed,3417,2570,Cobbitty,20170307
228,1583,9786,Coffee Camp Public School,Nimbin Rd,63,21,1033,Primary School,Coed,2811,2480,Coffee Camp,20170307
229,1584,9655,Coffs Harbour Public School,7 Salamander Street,428,27,880,Primary School,Coed,2381,2450,Coffs Harbour,20170307
230,1587,9983,Coledale Public School,Lawrence Hargrave Drive,141,8,1112,Primary School,Coed,3014,2515,Coledale,20170307
231,1589,6403,Collarenebri Central School,High St,87.4,np,643,Central/Community School,Coed,5007,2833,Collarenebri,20170307
232,1590,10273,Collector Public School,Lorn St,28,np,1041,Primary School,Coed,3553,2581,Collector,20170307
233,1591,10495,Collingullie Public School,Urana St,28,0,995,Primary School,Coed,4051,2652,Collingullie,20170307
234,1593,9752,Collins Creek Public School,480 Collins Valley Road,14,np,1076,Primary School,Coed,2697,2474,Collins Creek,20170307
235,1596,10796,Colyton Public School,Nelson St,728,67,1000,Primary School,Coed,4555,2770,Mount Druitt,20170307
236,1601,9540,Comboyne Public School,Hill St,28,0,905,Primary School,Coed,2130,2429,Comboyne,20170307
237,1604,10762,Comleroy Road Public School,McMahons Rd,136,7,1010,Primary School,Coed,4508,2758,Kurrajong,20170307
238,1605,4400,Como Public School,Genoa St,101,22,1076,Primary School,Coed,954,2226,Como,20170307
239,1606,10622,Conargo Public School,Deniliquin-Wagga Wagga Rd,22,0,963,Primary School,Coed,4267,2710,Conargo,20170307
240,1607,7782,Concord Public School,Burwood Rd,275,65,1074,Primary School,Coed,724,2137,Concord,20170307
241,1608,7786,Concord West Public School,Concord Rd,389,73,1107,Primary School,Coed,727,2138,Concord West,20170307
242,1609,11106,Condobolin Public School,Molong Street,271,np,818,Primary School,Coed,5258,2877,Condobolin,20170307
